# list1_substellar: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 2234316 candidate stars
# score: P_A (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
1,485576151946922368,0.81780796,0.81780796,0.12,2,-0.148645,False,False,False,False,False
2,2993561629445801344,0.81183069,0.81183069,0,7,-0.055107,False,False,False,False,False
3,5654624444358527872,0.80750264,0.80750264,0.56,10,0.110157,False,False,False,False,False
4,3702983196155254016,0.80481183,0.80481183,0.32,14,0.14856,False,False,False,False,False
5,6810425909217925760,0.80423494,0.80423494,0.08,15,0.234526,False,False,False,False,False
6,1974877712769494912,0.80347408,0.80347408,0.48,17,0.274746,False,False,False,False,False
7,5116991742596679424,0.80304932,0.80304932,0.32,18,0.362669,False,False,False,False,False
8,3507958145812345728,0.80218615,0.80218615,0.08,20,0.305413,False,False,False,False,False
9,3784855958694603648,0.79914273,0.79914273,0,22,-0.121409,False,False,False,False,False
10,1320567792002123648,0.79909012,0.79909012,0.52,23,0.241114,False,False,False,False,False
11,475055818531633152,0.7983049,0.7983049,0.56,24,0.425529,False,False,True,False,False
12,2457131140567886336,0.79821784,0.79821784,0.24,25,0.128685,False,False,True,False,False
13,5408074458081725312,0.79803847,0.79803847,0.28,26,0.776577,False,False,False,False,False
14,4460652192092375040,0.79683123,0.79683123,0,27,0.465776,False,False,False,False,False
15,1482786816986431104,0.79555782,0.79555782,0.24,30,0.235401,False,False,False,False,False
16,6128049446631641600,0.79454519,0.79454519,0.4,34,0.331539,False,False,True,False,False
17,1038692730497487616,0.7940868,0.7940868,0.16,35,0.13964,False,False,False,False,False
18,3226363081816694400,0.79318833,0.79318833,0.2,39,0.329515,False,False,True,False,False
