# list2_planets: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 1488768 candidate stars
# score: P_A * P(m2<13 MJ), ms_offset < 0.2 (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
1,5977390652584004480,0.7928641,0.7928641,1,1,0.144002,False,False,False,False,False
2,6061787515837800448,0.78371634,0.78371634,1,2,0.049878,False,False,True,False,False
3,4540481374832743040,0.78158528,0.78158528,1,3,0.100948,False,False,True,False,False
4,6527055859795615616,0.77543507,0.77543507,1,4,0.057426,False,False,False,False,False
5,43574131143039104,0.77082009,0.77082009,1,5,0.095764,False,True,False,False,False
6,1768825106253209984,0.76714595,0.76714595,1,6,0.061258,False,False,False,False,False
7,5060587895604134912,0.76481333,0.76481333,1,7,0.188375,False,False,False,False,False
8,1518564478676515712,0.76453949,0.76453949,1,8,-0.098186,False,False,False,False,False
9,5935904773205046912,0.76386252,0.76386252,1,10,-0.155127,False,False,False,False,False
10,660597997697274752,0.76039133,0.76039133,1,12,0.013198,False,False,False,False,False
11,5512265038913877248,0.75998378,0.75998378,1,13,-0.048061,False,False,False,False,False
12,615779464207025152,0.75781565,0.75781565,1,14,-0.036654,False,False,False,False,False
13,660597997696173440,0.75671639,0.75671639,1,16,0.104865,False,False,False,False,False
14,1283125607149311360,0.74597273,0.74597273,1,18,0.060167,False,False,False,False,False
15,6572227714472220288,0.74270623,0.74270623,1,19,-0.189671,False,False,False,False,False
16,3629067564905036544,0.73955378,0.73955378,1,20,-0.40995,False,False,True,False,False
17,5559035514776717312,0.73917068,0.73917068,1,21,-0.348752,False,False,False,False,False
18,5439029627401396096,0.73879102,0.73879102,1,22,0.062435,False,False,False,False,False
19,4825658304114207360,0.73852131,0.73852131,1,23,0.179366,False,False,False,False,False
20,187247659142818560,0.73823104,0.73823104,1,24,-0.332393,False,False,False,False,False
21,5392573989820288768,0.73678773,0.73678773,1,25,0.141803,False,False,True,False,False
22,5075243629687810560,0.73518556,0.73518556,1,28,0.187208,False,False,False,False,False
23,4893986285989235072,0.7330409,0.7330409,1,30,0.035099,False,False,False,False,False
24,3195919254111314816,0.73243963,0.73243963,1,31,0.189799,False,False,False,False,False
25,3560746351897773952,0.7288196,0.7288196,1,33,-0.185499,False,False,False,False,False
26,5645479806157346688,0.72755096,0.72755096,1,34,0.095665,False,False,False,False,False
27,4960651016012601856,0.7267485,0.7267485,1,35,-0.016103,False,False,False,False,False
28,1209432042883668480,0.72559507,0.72559507,1,36,-0.1116,False,False,True,False,False
29,2450599697900838912,0.72206378,0.72206378,1,38,-0.083914,False,False,False,False,False
30,5518349869403884928,0.72163143,0.72163143,1,39,0.074757,False,False,False,False,False
31,3931880591977203584,0.71992023,0.71992023,1,40,0.135719,False,False,False,False,False
32,6536153940554895872,0.71968919,0.71968919,1,41,-0.061755,False,False,True,False,False
33,18565464288396416,0.71958684,0.71958684,1,42,0.09677,False,False,False,False,False
34,3365063724883180288,0.71920357,0.71920357,1,43,0.182642,False,False,False,False,False
35,432528843370092288,0.71704434,0.71704434,1,44,0.093362,False,False,False,False,False
36,6383229053001389312,0.71692,0.71692,1,45,-0.118752,False,False,False,False,False
37,1717366591979606528,0.71533579,0.71533579,1,46,0.034886,False,False,False,False,False
38,2616132101175335936,0.71466062,0.71466062,1,47,-0.055328,False,False,False,False,False
39,1495487688115551744,0.71464253,0.71464253,1,48,0.048977,False,False,False,False,False
40,6383963114451742464,0.71247488,0.71247488,1,49,0.139682,False,False,False,False,False
41,1013110152935464192,0.71203153,0.77394731,0.92,50,0.17298,False,False,False,False,False
42,2079073928612821760,0.71169696,0.71169696,1,51,0.11109,False,False,False,False,False
43,6592223158057230592,0.70938374,0.70938374,1,52,-0.056737,False,False,False,False,False
44,4547881191164080768,0.70928172,0.70928172,1,53,-0.285692,False,False,False,False,False
45,5440833582388241920,0.70574572,0.73515179,0.96,54,0.055046,False,False,True,False,False
46,1380153247688639744,0.70546194,0.76680645,0.92,55,0.036457,False,False,False,False,False
47,6887855373472834944,0.70501453,0.76632014,0.92,56,0.004067,False,False,False,False,False
48,2886405528302243712,0.70308546,0.70308546,1,59,-0.120707,False,False,False,False,False
49,6403245627824561536,0.70306144,0.70306144,1,60,0.19749,False,False,False,False,False
50,2797745549200773120,0.70290579,0.70290579,1,61,0.183154,False,False,False,False,False
51,4446574040918651904,0.70062042,0.70062042,1,64,-0.363419,False,False,False,False,False
52,1443068608699851008,0.69901214,0.69901214,1,65,-0.237925,False,False,False,False,False
53,5185165891628969984,0.69851982,0.69851982,1,66,-0.023049,False,False,False,False,False
54,6163541785049288960,0.69530549,0.72427656,0.96,68,0.144739,False,False,False,False,False
55,6113245033659187200,0.69523511,0.69523511,1,69,0.137717,False,False,False,False,False
56,1205070452055788928,0.69248379,0.69248379,1,70,-0.026642,False,False,False,False,False
57,6109949904687424640,0.69209391,0.69209391,1,71,0.198976,False,False,False,False,False
58,1641352680226120448,0.68910805,0.68910805,1,72,-0.207111,False,False,False,False,False
59,6408509574103239552,0.68836333,0.68836333,1,73,0.07101,False,False,False,False,False
60,5682049837765283200,0.68795999,0.68795999,1,74,0.057926,False,False,False,False,False
61,5381537023379295744,0.68685369,0.68685369,1,76,-0.415951,False,False,False,False,False
62,4303294035005560704,0.68676829,0.68676829,1,77,0.187731,False,False,False,False,False
63,2788757282161376512,0.68397633,0.74345253,0.92,79,0.142522,False,False,False,False,False
64,993148931650561024,0.68286891,0.68286891,1,81,-0.170054,False,False,False,False,False
65,6425912987746838144,0.68129245,0.70967964,0.96,82,0.016892,False,False,True,False,False
66,299467939039225728,0.68058563,0.68058563,1,83,0.112486,False,False,False,False,False
